,home_team,away_team,home_position,away_position,home_team_avg_goals,away_team_avg_goals,home_team_avg_conceded,away_team_avg_conceded,Over2.5
386,10,12,17,1,0.0,2.2,0.0,1.8,0
387,3,7,11,18,1.8,3.0,1.4,0.4,1
388,6,14,4,2,2.8,3.2,0.8,0.4,0
389,11,20,15,9,0.0,1.4,0.0,1.8,0
390,1,0,5,3,1.4,2.2,2.4,0.6,0
391,9,11,8,15,1.0,1.0,1.6,1.0,1
392,7,21,18,12,2.8,1.4,0.8,2.6,0
393,19,17,19,10,0.0,1.6,1.0,1.6,0
394,20,8,9,16,1.6,0.8,1.6,1.2,1
395,4,15,6,14,1.2,1.2,1.0,1.4,1
396,14,10,2,17,3.2,0.0,0.4,2.0,1
397,22,6,20,4,0.8,2.4,2.6,1.2,1
398,2,16,13,7,1.2,2.4,1.6,1.4,0
399,12,3,1,11,2.6,1.2,1.4,1.4,0
400,0,4,3,6,2.0,1.4,0.2,1.2,0
401,17,22,10,20,1.8,0.8,1.2,3.6,0
402,11,1,15,5,1.0,1.0,1.5,2.4,1
403,10,9,17,8,0.5,1.2,3.0,1.6,0
404,8,2,16,13,0.6,0.8,2.0,1.8,1
405,3,19,11,19,1.2,0.0,1.6,1.0,1
406,21,14,12,2,1.4,3.0,2.2,0.4,1
407,15,12,14,1,1.4,2.6,1.0,1.0,1
408,6,7,4,18,2.6,2.6,1.6,1.0,0
409,16,20,7,9,1.8,2.0,1.4,0.8,1
410,19,15,19,14,0.3333333333333333,1.4,1.6666666666666667,1.4,1
411,14,3,2,11,2.8,1.8,0.6,1.8,1
412,12,17,1,10,2.4,1.4,0.6,1.2,0
413,9,21,8,12,1.4,1.6,1.8,1.8,0
414,7,11,18,15,2.0,1.0,1.2,1.6666666666666667,1
415,4,10,6,17,1.4,0.6666666666666666,1.2,2.333333333333333,0
416,1,8,5,16,1.4,0.8,2.4,2.4,1
417,2,6,13,4,1.4,2.2,1.6,1.4,0
418,20,0,9,3,1.8,1.6,1.0,0.4,0
419,22,16,20,7,0.8,2.0,2.8,1.4,1
420,7,15,18,14,1.8,1.4,1.4,1.0,0
421,1,22,5,20,1.4,0.8,2.2,2.6,1
422,9,16,8,7,1.6,2.0,1.2,1.0,1
423,19,10,19,17,0.25,0.5,2.0,1.75,0
424,12,2,1,13,1.8,1.2,0.2,1.4,1
425,20,3,9,11,1.8,1.6,0.8,2.0,1
426,21,6,12,4,1.2,2.0,1.8,1.2,1
427,11,8,15,16,1.25,1.0,1.75,3.0,0
428,4,17,6,10,1.2,1.2,0.8,0.6,1
429,14,0,2,3,2.8,1.6,0.8,0.4,1
430,16,14,7,2,1.4,2.6,1.2,1.0,0
431,17,9,10,8,1.2,1.4,0.8,1.0,0
432,8,7,16,18,1.0,0.8,2.8,1.4,1
433,6,4,4,6,2.2,1.6,1.0,0.8,1
434,3,21,11,12,1.4,1.0,1.8,1.8,0
435,0,11,3,15,1.6,1.2,0.6,1.6,1
436,22,12,20,1,1.0,2.0,2.8,0.2,1
437,10,1,17,5,0.6,2.0,1.6,1.4,1
438,15,20,14,9,1.0,1.8,1.0,1.0,1
439,2,19,13,19,1.0,0.4,1.6,1.8,1
440,7,12,18,1,0.8,2.0,1.4,0.4,0
441,21,10,12,17,1.0,1.0,1.6,1.6,1
442,14,9,2,8,2.4,1.6,1.2,0.8,1
443,11,2,15,13,1.4,1.4,2.2,1.6,0
444,3,22,11,20,1.2,1.2,1.8,2.8,1
445,0,19,3,19,2.0,0.6,1.0,2.2,1
446,8,16,16,7,1.4,1.4,2.4,1.4,0
447,6,17,4,10,3.0,1.0,1.0,0.8,0
448,1,15,5,14,2.0,0.8,1.6,1.6,0
449,4,20,6,9,1.4,2.2,1.6,0.8,1
